09:53:10.112 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 베스트 스토어 싱크 토픽: sales_minute-best-store
09:53:10.665 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Property [transaction.timeout.ms] not specified. Setting it to 3600000 ms
09:53:10.670 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Overwriting the 'key.serializer' is not recommended
09:53:10.670 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Overwriting the 'value.serializer' is not recommended
09:53:11.813 [flink-pekko.actor.default-dispatcher-5] INFO  o.a.pekko.event.slf4j.Slf4jLogger - Slf4jLogger started
09:53:11.982 [flink-metrics-6] INFO  o.a.pekko.event.slf4j.Slf4jLogger - Slf4jLogger started
09:53:12.102 [main] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
09:53:12.703 [main] WARN  o.a.f.r.webmonitor.WebMonitorUtils - Log file environment variable 'log.file' is not set.
09:53:12.703 [main] WARN  o.a.f.r.webmonitor.WebMonitorUtils - JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'web.log.path'.
09:53:13.086 [flink-pekko.actor.default-dispatcher-5] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
09:53:13.086 [flink-pekko.actor.default-dispatcher-5] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - Tokens update task not started because either no tokens obtained or none of the tokens specified its renewal date
09:53:13.436 [jobmanager-io-thread-1] INFO  o.a.f.r.c.CheckpointCoordinator - No checkpoint found during restore.
09:53:35.291 [Checkpoint Timer] INFO  o.a.f.r.c.CheckpointCoordinator - Triggering checkpoint 1 (type=CheckpointType{name='Checkpoint', sharingFilesStrategy=FORWARD_BACKWARD}) @ 1747616015287 for job c9596a691dfdf2bc7f9fde5746d1cf5f.
09:53:35.732 [jobmanager-io-thread-6] INFO  o.a.f.r.c.CheckpointCoordinator - Completed checkpoint 1 for job c9596a691dfdf2bc7f9fde5746d1cf5f (13656 bytes, checkpointDuration=440 ms, finalizationTime=5 ms).
09:54:35.294 [Checkpoint Timer] INFO  o.a.f.r.c.CheckpointCoordinator - Triggering checkpoint 2 (type=CheckpointType{name='Checkpoint', sharingFilesStrategy=FORWARD_BACKWARD}) @ 1747616075294 for job c9596a691dfdf2bc7f9fde5746d1cf5f.
09:54:35.347 [jobmanager-io-thread-5] INFO  o.a.f.r.c.CheckpointCoordinator - Completed checkpoint 2 for job c9596a691dfdf2bc7f9fde5746d1cf5f (13656 bytes, checkpointDuration=47 ms, finalizationTime=6 ms).
09:55:35.294 [Checkpoint Timer] INFO  o.a.f.r.c.CheckpointCoordinator - Triggering checkpoint 3 (type=CheckpointType{name='Checkpoint', sharingFilesStrategy=FORWARD_BACKWARD}) @ 1747616135294 for job c9596a691dfdf2bc7f9fde5746d1cf5f.
09:55:35.299 [jobmanager-io-thread-8] INFO  o.a.f.r.c.CheckpointCoordinator - Completed checkpoint 3 for job c9596a691dfdf2bc7f9fde5746d1cf5f (13656 bytes, checkpointDuration=5 ms, finalizationTime=0 ms).
09:56:35.284 [Checkpoint Timer] INFO  o.a.f.r.c.CheckpointCoordinator - Triggering checkpoint 4 (type=CheckpointType{name='Checkpoint', sharingFilesStrategy=FORWARD_BACKWARD}) @ 1747616195284 for job c9596a691dfdf2bc7f9fde5746d1cf5f.
09:56:35.296 [jobmanager-io-thread-1] INFO  o.a.f.r.c.CheckpointCoordinator - Completed checkpoint 4 for job c9596a691dfdf2bc7f9fde5746d1cf5f (13656 bytes, checkpointDuration=4 ms, finalizationTime=8 ms).
10:05:18.372 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드 분석 애플리케이션 시작
10:05:18.374 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - Kafka 서버: 13.209.157.53:9092,15.164.111.153:9092,3.34.32.69:9092
10:05:18.380 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 소스 토픽: test-topic
10:05:18.381 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 매출 싱크 토픽: sales_minute-minute
10:05:18.381 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 베스트 스토어 싱크 토픽: sales_minute-best-store
10:05:19.050 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Property [transaction.timeout.ms] not specified. Setting it to 3600000 ms
10:05:19.050 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Overwriting the 'key.serializer' is not recommended
10:05:19.050 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Overwriting the 'value.serializer' is not recommended
10:05:20.206 [flink-pekko.actor.default-dispatcher-5] INFO  o.a.pekko.event.slf4j.Slf4jLogger - Slf4jLogger started
10:05:20.388 [flink-metrics-7] INFO  o.a.pekko.event.slf4j.Slf4jLogger - Slf4jLogger started
